index,status,end_date,start_date,years_to_event,event_indicator,total_liabilities_by_net_assets,cash_by_total_assets,cash_by_current_liabilities,current_assets_by_current_liabilities,tax,EBTIDA,financial_expenses_by_total_assets,EBIT,working_capital_by_total_assets,size_classification,income_tax_by_total_assets,sector,cooperative,nonprofit,other,private,public
1.0,Merger by absorption,2021-10-28,1990-11-26,31,0,9288.997375824489,0.0001737916543336439,0.00020201149433788336,1.1251348633675444,11279000.0,36334666.666666664,0.01528217404616211,37832666.666666664,-0.06941292436308791,Very large,0.008611779688904963,C - Manufacturing,0,0,0,0,1
2.0,Provisional suspension,2022-09-14,1969-12-08,53,1,3588.6616226706897,1.5441539950059785e-05,2.485277717332173e-05,1.4484856109237296,54333.333333333336,-49643333.333333336,0.005105985643244339,-50951333.333333336,-0.0635829358255557,Very large,0.00017217121635267426,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
3.0,Merger by absorption,2019-02-08,2005-11-17,14,0,4288.939546354284,0.00011917119516388653,0.0006861478815335944,2.3424395715693698,6537333.333333333,26160333.333333332,0.024776380821238952,25519000.0,0.18055794616494766,Very large,0.018547766267124906,C - Manufacturing,0,0,0,1,0
4.0,Merger by absorption,2022-09-29,1924-12-11,98,0,2237.7848484968554,0.0007211714168342919,0.0013119666792296022,1.8129507758417973,5478000.0,4355666.666666667,0.024616114683967478,10855333.333333334,-0.24798672691730175,Very large,0.02909949854095249,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
5.0,Bankruptcy,2020-08-03,2013-01-25,7,2,15486.61194259092,6.263464647277207e-05,8.202455873503322e-05,1.0845615346539654,114666.66666666667,16958000.0,0.014464405946649415,12116000.0,-0.015350386624777263,Very large,0.00037907631004475083,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
6.0,Merger by absorption,2022-09-30,2017-07-13,5,0,27259.747757349676,7.96337778067396e-05,0.00017541933122321987,1.1559151361166735,4790666.666666667,34352333.333333336,0.006909022782995431,7994333.333333333,0.02768496420047733,Very large,0.02341345801396141,H - Transportation and storage,0,0,0,1,0
7.0,Consolidation of shares in one person's possession,2019-03-29,1977-04-01,42,3,-3780.8423238387577,3.6215878473839e-07,6.120005918247482e-07,0.5530422930518878,54333.333333333336,-40104333.333333336,0.00575474288716167,-58071000.0,0.1323511268709879,Very large,0.00021623399967896548,C - Manufacturing,0,0,0,1,0
8.0,Merger by absorption,2022-10-28,2012-10-09,10,0,-9760.704524749468,0.00013894592744695416,0.00018972768596796808,0.8650324992565529,133666.66666666666,1613666.6666666667,0.024018418268931613,206333.33333333334,0.0187293883392446,Very large,0.012475888245908779,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,1,0
9.0,Liquidation,2021-06-30,2003-01-31,18,4,9031.904656155155,0.00048028062813493754,0.000545857629897349,1.1258267041749728,3333.3333333333335,-1366333.3333333333,3.278366062354523e-05,-1080666.6666666667,0.03756187915942694,Very large,8.195915155886307e-05,J - Information and communication,0,1,0,0,0
10.0,Merger by absorption,2021-08-20,2008-08-21,13,0,5409.09090909091,1.8918797465510268e-05,2.3210298536262646e-05,1.2268103757201532,1578000.0,5543333.333333333,0.004572417202174987,5275666.666666667,-0.12239922707050734,Very large,0.05318384038107221,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0,0,0,0,1
