"","index","status","end_date","start_date","years_to_event","event_indicator","total_liabilities_by_net_assets","cash_by_total_assets","cash_by_current_liabilities","current_assets_by_current_liabilities","tax","financial_expenses_by_total_assets","EBIT","working_capital_by_total_assets","size_classification","income_tax_by_total_assets","sector","cooperative","nonprofit","other","private","public","censor","size_small","size_large","size_v_large","EBITDA","log_cash_by_current_liabilities","log_cash_by_total_assets","log_total_liabilities_by_net_assets","log_total_liabilities_by_total_assets"
"1",1,"Merger by absorption","2021-10-28","1990-11-26",31,0,9288.99737582449,0.000173791654333644,0.000202011494337883,1.12513486336754,11279000,0.0152821740461621,37832666.6666667,-0.0694129243630879,"Very large",0.00861177968890496,"C - Manufacturing",0,0,0,0,1,0,0,0,1,36334666.6666667,-8.50718595951918,-8.65765336507969,9.13658590088393,9.13658590088393
"2",2,"Provisional suspension","2022-09-14","1969-12-08",53,1,3588.66162267069,0.0000154415399500598,0.0000248527771733217,1.44848561092373,54333.3333333333,0.00510598564324434,-50951333.3333333,-0.0635829358255557,"Very large",0.000172171216352674,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,0,1,-49643333.3333333,-10.6025410541883,-11.0784492806429,8.18553460491698,8.18553460491698
"3",3,"Merger by absorption","2019-02-08","2005-11-17",14,0,4288.93954635428,0.000119171195163887,0.000686147881533594,2.34243957156937,6537333.33333333,0.024776380821239,25519000,0.180557946164948,"Very large",0.0185477662671249,"C - Manufacturing",0,0,0,1,0,0,0,0,1,26160333.3333333,-7.28441738272174,-9.03494948384508,8.36379478937308,8.36379478937308
"4",4,"Merger by absorption","2022-09-29","1924-12-11",98,0,2237.78484849686,0.000721171416834292,0.0013119666792296,1.8129507758418,5478000,0.0246161146839675,10855333.3333333,-0.247986726917302,"Very large",0.0290994985409525,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,0,1,4355666.66666667,-6.6362279857114,-7.23463370020713,7.71324174863699,7.71324174863699
"5",5,"Bankruptcy","2020-08-03","2013-01-25",7,2,15486.6119425909,0.0000626346464727721,0.0000820245587350332,1.08456153465397,114666.666666667,0.0144644059466494,12116000,-0.0153503866247773,"Very large",0.000379076310044751,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,1,0,0,1,16958000,-9.40849185877153,-9.67819197492813,9.64773118402484,9.64773118402484
"6",6,"Merger by absorption","2022-09-30","2017-07-13",5,0,27259.7477573497,0.0000796337778067396,0.00017541933122322,1.15591513611667,4790666.66666667,0.00690902278299543,7994333.33333333,0.0276849642004773,"Very large",0.0234134580139614,"H - Transportation and storage",0,0,0,1,0,0,0,0,1,34352333.3333333,-8.64833127188007,-9.43807221081675,10.2131664519924,10.2131664519924
"7",7,"Consolidation of shares in one person's possession","2019-03-29","1977-04-01",42,3,-3780.84232383876,0.00000036215878473839,0.000000612000591824748,0.553042293051888,54333.3333333333,0.00575474288716167,-58071000,0.132351126870988,"Very large",0.000216233999678965,"C - Manufacturing",0,0,0,1,0,0,0,0,1,-40104333.3333333,-14.3065325874006,-14.8311830894175,NA,NA
"8",8,"Merger by absorption","2022-10-28","2012-10-09",10,0,-9760.70452474947,0.000138945927446954,0.000189727685967968,0.865032499256553,133666.666666667,0.0240184182689316,206333.333333333,0.0187293883392446,"Very large",0.0124758882459088,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,0,0,1,1613666.66666667,-8.56992074561036,-8.88142571169105,NA,NA
"9",9,"Liquidation","2021-06-30","2003-01-31",18,4,9031.90465615515,0.000480280628134938,0.000545857629897349,1.12582670417497,3333.33333333333,0.0000327836606235452,-1080666.66666667,0.0375618791594269,"Very large",0.0000819591515588631,"J - Information and communication",0,1,0,0,0,0,0,0,1,-1366333.33333333,-7.51315236732461,-7.64113998295107,9.1085185495465,9.1085185495465
"10",10,"Merger by absorption","2021-08-20","2008-08-21",13,0,5409.09090909091,0.0000189187974655103,0.0000232102985362626,1.22681037572015,1578000,0.00457241720217499,5275666.66666667,-0.122399227070507,"Very large",0.0531838403810722,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,0,1,5543333.33333333,-10.6709144753624,-10.8753545552659,8.59583631873535,8.59583631873535
