Mark,Name,Posttown,Last available year,Status,Legal form,Legal situation,Legal situation date,Date of incorporation,Date,Event,Turnover Last year th EUR Last avail. yr,P/L for the period aft. taxes th EUR Last avail. yr,P/L for the period aft. taxes th EUR Year - 1,P/L for the period aft. taxes th EUR Year - 2,P/L for the period aft. taxes th EUR Year - 3,P/L for the period aft. taxes th EUR Year - 5,P/L for the period aft. taxes th EUR Year - 4,Total assets th EUR Last avail. yr,Total assets th EUR Year - 1,Total assets th EUR Year - 2,Total assets th EUR Year - 3,Total assets th EUR Year - 5,Total assets th EUR Year - 4,Average number of employees Last avail. yr,Average number of employees Year - 1,Average number of employees Year - 2,Average number of employees Year - 3,Average number of employees Year - 5,Average number of employees Year - 4,Category of the company,Main activity
1.0,AW EUROPE,BRAINE-L'ALLEUD,2020.0,Inactive,public,Merger by absorption,28/10/2021,26/11/1990,28/10/2021,Absorbed Company,2491251.0,12283.0,35642.0,23001.0,15709.0,11076.0,16333.0,1294204.0,1457439.0,1177510.0,950960.0,827194.0,962446.0,638.0,681.0,746.0,711.0,665.0,688.0,Very large,manufacturing
2.0,GATES EUROPE,EREMBODEGEM,2018.0,Inactive,private,Merger by absorption,08/02/2019,17/11/2005,28/06/2012,Company absorbing an(other) company/ies,377400.0,128.0,12896.0,19013.0,16980.0,15722.0,16992.0,733722.0,162721.0,160935.0,156378.0,144926.0,148539.0,131.0,138.0,131.0,134.0,133.0,134.0,Very large,wholesale
3.0,OPEL BELGIUM,BRUSSEL,2021.0,Inactive,public,Merger by absorption,29/09/2022,11/12/1924,29/09/2022,Absorbed Company,301874.0,1557.0,1397.0,11111.0,6458.0,-302.0,2876.0,124871.0,202772.0,237109.0,251926.0,257033.0,214706.0,61.0,66.0,77.0,92.0,99.0,100.0,Very large,manufacturing
4.0,FNG INTERNATIONAL,MECHELEN,2018.0,Provisional legal sit.,public,Bankruptcy,03/08/2020,25/01/2013,28/12/2015,Company absorbing an(other) company/ies,261100.0,1542.0,-599.0,2187.0,611.0,,-81.0,417967.0,294466.0,195036.0,144480.0,,107827.0,122.0,58.0,39.0,38.0,,42.0,Very large,retail
5.0,ASBL CENTRES HOSPITALIERS DE JOLIMONT,HAINE-SAINT-PAUL,2020.0,Inactive,nonprofit,Merger by absorption,30/09/2020,10/10/2013,30/09/2020,Absorbed Company,243555.0,1071.0,5267.0,5599.0,-3625.0,58.0,-90.0,190110.0,156378.0,146968.0,147719.0,137414.0,151247.0,2275.0,2266.0,2256.0,2270.0,2272.0,2291.0,Very large,services
6.0,FEDEX EXPRESS BELGIUM INTERNATIONAL BVBA,BRUSSEL,2021.0,Inactive,private,Merger by absorption,30/09/2022,13/07/2017,30/09/2022,Absorbed Company,229303.0,-1708.0,-718.0,3501.0,-21.0,,,195994.0,188815.0,229026.0,27.0,,,794.0,808.0,801.0,,,,Very large,services
7.0,U-CAR SERVICES,ANTWERPEN,2019.0,Inactive,private,Merger by absorption,28/10/2022,09/10/2012,12/09/2022,Merger project,175994.0,105.0,232.0,-124.0,-34.0,226.0,34.0,13740.0,8448.0,9954.0,11972.0,9382.0,10517.0,25.0,29.0,39.0,47.0,49.0,53.0,Very large,retail
8.0,DIGIPOLIS,ANTWERPEN,2020.0,Inactive,nonprofit,Conclusion of liquidation,30/06/2021,31/01/2003,30/06/2021,Disposal of business segment,173452.0,-3624.0,31.0,6.0,17.0,113.0,32.0,26168.0,43926.0,51918.0,53139.0,54807.0,68471.0,467.0,457.0,445.0,423.0,417.0,411.0,Very large,services
9.0,FUEL CARD SERVICES,RONSE,2020.0,Inactive,public,Merger by absorption,20/08/2021,21/08/2008,20/08/2021,Absorbed Company,165075.0,4233.0,4428.0,3314.0,2874.0,2610.0,2348.0,42557.0,28689.0,17766.0,56486.0,11151.0,16766.0,,,4.0,12.0,15.0,14.0,Very large,services
10.0,CELGENE,BRUSSEL,2021.0,Inactive,private,Merger by absorption,30/09/2022,21/06/2006,30/09/2022,Absorbed Company,163967.0,4686.0,5220.0,4235.0,3756.0,2377.0,2681.0,70983.0,45527.0,41183.0,39673.0,33264.0,38615.0,24.0,28.0,44.0,48.0,50.0,50.0,Very large,
