index,bankruptcy,active,bankruptcy_indicator,time_to_event,mean_operating_revenue,mean_cash_flow,mean_total_assets,mean_n_employees,n_legal_events,peer_group_size
1,2022-06-21,1995-12-23,1,9677.0,0.0,-16.84925621781349,772.3531619965067,0.0,1.0,200820
8,,2010-06-08,0,4559.0,0.0,0.0,0.0,0.8333333333333334,3.0,731053
19,2014-10-21,2007-02-04,1,2816.0,0.0,16.11526082720757,130.62216936130528,1.5,1.0,773
33,2015-03-23,1993-04-15,1,8012.0,0.0,2.17811012947559,35.582059463453284,0.0,4.0,2693579
36,,2021-12-29,0,337.0,0.0,0.0,0.0,0.3333333333333333,3.0,583323
38,2017-02-16,2011-03-11,1,2169.0,0.0,26.641313255429203,30.9278002160788,0.0,7.0,162940
48,2012-02-14,2006-06-15,1,2070.0,0.0,25.239103104567523,872.3501599308723,0.0,20.0,7643
53,2015-06-26,1996-11-26,1,6786.0,0.0,-18.858091671895977,75.80527014510638,0.0,4.0,509413
64,2013-09-16,2009-08-25,1,1483.0,109.71214414177332,-153.3132967278004,404.769199661684,0.6666666666666666,4.0,45900
66,,2020-04-27,0,948.0,0.0,0.0,0.0,0.3333333333333333,1.0,1582861
68,2016-10-31,2009-06-03,1,2707.0,538.601310921808,5.381894992661481,388.44032202768346,2.3333333333333335,22.0,86733
69,2016-04-10,2011-07-07,1,1739.0,394.96239760744584,-6.127140705466282,160.64000176513196,3.1666666666666665,14.0,12337
77,2019-11-28,2008-07-15,1,4153.0,0.0,0.0,0.10341521315574646,0.0,7.0,297529
79,2018-02-10,2011-04-10,1,2498.0,0.0,-0.1819223250627518,0.323733753418922,0.0,7.0,179128
84,2014-02-24,1984-12-18,1,10660.0,0.0,127.59818674519074,1846.4965980074885,7.666666666666667,4.0,172344
85,2015-06-29,2014-03-27,1,459.0,0.0,-285.38544693450956,4635.104252279806,9.166666666666666,15.0,93870
100,2015-08-19,2015-08-19,1,0.0,0.0,0.0,0.0,0.0,10.0,2693579
110,2015-10-22,2015-10-22,1,0.0,0.0,-16.630210278534893,84.83316616063121,0.5,8.0,255582
112,2014-02-25,2004-12-31,1,3343.0,0.0,0.0,3.1724211435556477,0.0,4.0,1355224
122,2018-04-30,1994-07-12,1,8693.0,0.0,3.2718114392996,91.05530382580756,6.166666666666667,6.0,889191
130,2014-09-18,2003-12-23,1,3922.0,0.0,62.08647869997026,443.72456890652177,0.0,4.0,309900
131,2015-05-01,2004-04-14,1,4034.0,0.0,-23.697370921015768,709.5941395426978,0.0,4.0,719969
149,2016-06-16,2005-03-15,1,4111.0,55.126389323691505,19.23803879163264,186.59663557748794,0.16666666666666666,4.0,183200
150,,2022-06-07,0,177.0,0.0,0.0,0.0,0.0,1.0,836403
153,2015-06-08,2014-05-02,1,402.0,86.52449800912534,-0.92320209569931,9.103811933708199,1.6666666666666667,4.0,632206
156,2016-01-13,2010-12-28,1,1842.0,0.0,15.86219586558344,77.36837204129692,0.0,4.0,316913
159,2016-05-31,2016-05-31,1,0.0,0.0,26.1657586368084,457.78630380337233,0.0,7.0,160362
162,2020-12-16,2011-02-24,1,3583.0,0.0,-35.53616049144269,228.73340935297,3.0,37.0,459077
165,2016-01-21,1990-11-22,1,9191.0,0.0,3.9461093948364203,194.02206275615688,0.0,10.0,277680
173,2017-01-23,2009-10-12,1,2660.0,0.0,-0.070588237953186,10.020632834291447,0.0,4.0,189297
176,2013-12-18,2008-05-16,1,2042.0,0.0,-2.9831610425949022,56.14756203489294,0.0,4.0,669825
187,2016-11-10,2006-08-28,1,3727.0,0.0,17.302255724883082,620.2151760174033,6.333333333333333,4.0,683825
189,2014-10-23,2011-01-14,1,1378.0,0.0,0.0,0.0,0.0,8.0,239881
192,2013-04-11,2000-02-25,1,4794.0,0.0,57.823591631769986,3080.816881950332,11.333333333333334,28.0,106329
206,2016-08-31,2008-03-20,1,3086.0,0.0,2.033797191572199,2355.8384423489315,0.0,4.0,54329
208,2014-07-29,1997-03-28,1,6332.0,0.0,6.2814033364296,40.50707413077356,0.0,15.0,316913
209,2019-07-30,2002-08-02,1,6206.0,0.0,30.366621561527246,200.49912253713617,0.0,5.0,234354
211,2014-10-06,2007-06-06,1,2679.0,0.0,7.6281545338153744,45.90770173418518,0.0,12.0,731053
220,2014-04-11,2010-08-20,1,1330.0,0.0,8.977585881113999,65.6960552889108,0.3333333333333333,15.0,1355224
225,2017-10-24,2012-12-28,1,1761.0,0.0,0.0,0.0,0.0,7.0,181540
229,2019-05-04,2006-05-15,1,4737.0,0.0,-11.256556197357156,262.160800412321,3.5,19.0,93320
234,2016-05-23,2012-05-31,1,1453.0,0.0,0.0,0.0,0.0,12.0,2693579
241,2014-04-29,2014-04-29,1,0.0,0.0,216.67570949544898,5767.643688090786,9.666666666666666,7.0,75719
252,2015-06-10,2008-09-12,1,2462.0,0.0,-3.059204110026356,11.5725927400589,0.0,6.0,316913
253,2015-09-14,1990-08-22,1,9154.0,362.08361823016395,12.54092760632033,144.34957469079478,1.8333333333333333,5.0,110214
257,2016-06-28,2006-06-04,1,3677.0,1348.8906388754847,36.43402048797608,202.19821438202862,0.0,4.0,77920
262,2015-06-29,2012-11-30,1,941.0,0.0,0.0,0.0,0.0,12.0,183200
265,2017-01-26,2006-10-17,1,3754.0,34.59776585855084,5.1860617595672664,34.024107042527206,0.6666666666666666,8.0,731053
282,2016-11-17,2011-05-27,1,2001.0,0.0,0.0,0.0,0.0,14.0,2693579
284,2013-06-17,2007-12-04,1,2022.0,71.98629528685427,6.4387950185537335,82.14451361606118,1.0,22.0,105295
287,,2015-04-27,0,2775.0,0.0,0.0,0.0,0.5,3.0,1582861
293,,2005-05-27,0,6397.0,0.0,0.0,254.324977004528,0.0,10.0,257566
302,2014-09-12,2007-01-17,1,2795.0,0.0,7.43269232416152,13.22577242479324,0.0,4.0,316913
307,2013-09-23,2004-02-04,1,3519.0,0.0,0.0,40.2693931085348,0.0,4.0,104527
308,2014-06-08,1999-03-17,1,5562.0,0.0,-4.325436181116092,182.3159662888526,4.166666666666667,14.0,1507576
310,2014-09-24,1990-02-05,1,8997.0,0.0,25.15426333949566,175.93401153142437,2.0,10.0,8985
311,2016-09-08,2002-02-18,1,5316.0,0.0,5.819548509526255,33.04972702884674,0.0,4.0,72035
312,2016-01-14,2011-05-16,1,1704.0,54.442400256037665,0.550981420326232,8.8988249222517,0.0,4.0,519602
313,2014-05-20,2005-04-07,1,3330.0,66.9469445175925,-1.227348757338524,45.07418861358165,1.1666666666666667,4.0,2693579
315,2015-08-06,1991-06-19,1,8814.0,0.0,-39.03470014050005,185.0456525362968,2.0,32.0,118265
316,2017-01-16,1992-09-06,1,8898.0,0.0,11.915838466334353,54.176221589756,0.0,4.0,719969
319,2016-11-22,2013-04-30,1,1302.0,0.0,0.0,0.0,0.0,4.0,277680
321,2014-04-17,2007-08-08,1,2444.0,0.0,0.0,1.658594709777832,0.0,6.0,316913
