Unnamed: 0,Last avail. year
2.0,2020-01-01
4.0,2012-01-01
5.0,2020-01-01
6.0,2008-01-01
8.0,2015-01-01
9.0,2021-01-01
10.0,2015-01-01
11.0,2011-01-01
12.0,2015-01-01
15.0,2010-01-01
16.0,2014-01-01
17.0,2014-01-01
18.0,2020-01-01
19.0,2019-01-01
21.0,2013-01-01
22.0,2022-01-01
23.0,2015-01-01
24.0,2009-01-01
25.0,2021-01-01
26.0,2022-01-01
29.0,2022-01-01
30.0,2020-01-01
33.0,2021-01-01
34.0,2016-01-01
35.0,2020-01-01
36.0,2021-01-01
37.0,2021-01-01
39.0,2020-01-01
40.0,2018-01-01
41.0,2021-01-01
44.0,2021-01-01
45.0,2022-01-01
47.0,2017-01-01
49.0,2020-01-01
51.0,2021-01-01
52.0,2005-01-01
54.0,2003-01-01
56.0,2020-01-01
57.0,2015-01-01
59.0,2022-01-01
60.0,2015-01-01
61.0,2020-01-01
62.0,2019-01-01
64.0,2016-01-01
65.0,2010-01-01
66.0,2014-01-01
67.0,2020-01-01
68.0,2011-01-01
69.0,2007-01-01
70.0,2014-01-01
73.0,2012-01-01
76.0,2014-01-01
77.0,2011-01-01
79.0,2019-01-01
82.0,2014-01-01
83.0,2018-01-01
85.0,2022-01-01
87.0,2002-01-01
88.0,2020-01-01
91.0,2010-01-01
93.0,2021-01-01
95.0,2020-01-01
97.0,2015-01-01
100.0,2020-01-01
102.0,2015-01-01
104.0,2021-01-01
105.0,2019-01-01
106.0,2014-01-01
107.0,2021-01-01
108.0,2002-01-01
109.0,2021-01-01
110.0,2021-01-01
111.0,2019-01-01
112.0,2021-01-01
114.0,2021-01-01
115.0,2022-01-01
116.0,2002-01-01
117.0,2022-01-01
118.0,2020-01-01
121.0,2020-01-01
126.0,2019-01-01
127.0,2015-01-01
129.0,2012-01-01
130.0,2022-01-01
131.0,2015-01-01
132.0,2021-01-01
133.0,2017-01-01
136.0,2021-01-01
137.0,2022-01-01
139.0,2022-01-01
141.0,2022-01-01
146.0,2022-01-01
148.0,2017-01-01
150.0,2011-01-01
151.0,2012-01-01
154.0,2019-01-01
155.0,2020-01-01
156.0,2021-01-01
157.0,2020-01-01
158.0,2011-01-01
159.0,2022-01-01
161.0,2018-01-01
162.0,2015-01-01
163.0,2021-01-01
164.0,2021-01-01
165.0,2018-01-01
167.0,2006-01-01
168.0,2019-01-01
170.0,2021-01-01
171.0,2017-01-01
172.0,2021-01-01
174.0,2020-01-01
175.0,2021-01-01
176.0,2013-01-01
177.0,2020-01-01
178.0,2021-01-01
179.0,2012-01-01
182.0,2019-01-01
185.0,2021-01-01
188.0,2006-01-01
189.0,2021-01-01
190.0,2007-01-01
192.0,2010-01-01
193.0,2020-01-01
196.0,2011-01-01
197.0,2022-01-01
198.0,2011-01-01
200.0,2016-01-01
202.0,2022-01-01
205.0,2016-01-01
208.0,2017-01-01
210.0,2022-01-01
213.0,2012-01-01
217.0,2022-01-01
219.0,2011-01-01
220.0,2020-01-01
222.0,2019-01-01
223.0,2005-01-01
224.0,2022-01-01
225.0,2016-01-01
226.0,2017-01-01
227.0,2020-01-01
228.0,2021-01-01
229.0,2021-01-01
230.0,2016-01-01
232.0,2022-01-01
233.0,2021-01-01
234.0,2022-01-01
235.0,2014-01-01
236.0,2017-01-01
240.0,2021-01-01
241.0,2016-01-01
242.0,2022-01-01
243.0,2008-01-01
250.0,2022-01-01
252.0,2002-01-01
256.0,2020-01-01
257.0,2014-01-01
258.0,2005-01-01
260.0,2008-01-01
264.0,2016-01-01
265.0,2022-01-01
268.0,2014-01-01
270.0,2011-01-01
271.0,2018-01-01
272.0,2019-01-01
275.0,2019-01-01
278.0,2015-01-01
279.0,2019-01-01
284.0,2021-01-01
285.0,2010-01-01
286.0,2012-01-01
288.0,2021-01-01
291.0,2020-01-01
298.0,2020-01-01
300.0,2015-01-01
301.0,2021-01-01
302.0,2010-01-01
305.0,2014-01-01
306.0,2021-01-01
307.0,2018-01-01
308.0,2018-01-01
310.0,2020-01-01
311.0,2011-01-01
312.0,2016-01-01
315.0,2020-01-01
316.0,2014-01-01
318.0,2021-01-01
319.0,2021-01-01
320.0,2021-01-01
321.0,2013-01-01
322.0,2021-01-01
323.0,2015-01-01
